crime_count,MONTH,HOUR,DAY_OF_WEEK,percent_difference
115,3,13,Monday,-0.44211839816249422385
116,3,13,Saturday,-0.43726725379868982580
145,3,13,Sunday,-0.29658406724836228225
65,3,13,Thursday,-0.68467561635271412653
84,3,13,Tuesday,-0.59250387344043056351
50,3,13,Wednesday,-0.75744278180978009733
31,3,14,Friday,-0.84961452472206366034
117,3,14,Monday,-0.43241610943488542775
91,3,14,Saturday,-0.55854586289379977714
26,3,14,Sunday,-0.87387024654108565061
77,3,14,Thursday,-0.62646188398706134989
53,3,14,Tuesday,-0.74288934871836690317
65,3,14,Wednesday,-0.68467561635271412653
101,3,15,Friday,-0.51003441925575579660
31,3,15,Monday,-0.84961452472206366034
69,3,15,Saturday,-0.66527103889749653431
107,3,15,Sunday,-0.48092755307292940828
89,3,15,Thursday,-0.56824815162140857324
160,3,15,Tuesday,-0.22381690179129631145
94,3,15,Wednesday,-0.54399242980238658298
176,3,16,Friday,-0.14619859197042594259
139,3,16,Monday,-0.32569093343118867057
125,3,16,Saturday,-0.39360695452445024332
110,3,16,Sunday,-0.46637411998151621412
83,3,16,Thursday,-0.59735501780423496156
171,3,16,Tuesday,-0.17045431378944793286
112,3,16,Wednesday,-0.45667183125390741801
57,3,17,Friday,-0.72348477126314931095
138,3,17,Monday,-0.33054207779499306863
115,3,17,Saturday,-0.44211839816249422385
165,3,17,Sunday,-0.19956117997227432118
174,3,17,Thursday,-0.15590088069803473870
154,3,17,Tuesday,-0.25292376797412269977
137,3,17,Wednesday,-0.33539322215879746668
68,3,18,Friday,-0.67012218326130093237
165,3,18,Monday,-0.19956117997227432118
127,3,18,Saturday,-0.38390466579684144721
85,3,18,Sunday,-0.58765272907662616546
98,3,18,Thursday,-0.52458785234716899076
188,3,18,Tuesday,-0.08798485960477316595
122,3,18,Wednesday,-0.40816038761586343748
91,3,19,Friday,-0.55854586289379977714
129,3,19,Monday,-0.37420237706923265111
152,3,19,Saturday,-0.26262605670173149588
216,3,19,Sunday,0.04784718258174997954
64,3,19,Thursday,-0.68952676071651852458
224,3,19,Tuesday,0.08665633749218516397
61,3,19,Wednesday,-0.70408019380793171874
64,3,20,Friday,-0.68952676071651852458
84,3,20,Monday,-0.59250387344043056351
110,3,20,Saturday,-0.46637411998151621412
185,3,20,Sunday,-0.10253829269618636011
89,3,20,Thursday,-0.56824815162140857324
31,3,20,Tuesday,-0.84961452472206366034
65,3,20,Wednesday,-0.68467561635271412653
88,3,21,Friday,-0.57309929598521297130
62,3,21,Monday,-0.69922904944412732069
106,3,21,Saturday,-0.48577869743673380634
73,3,21,Sunday,-0.64586646144227894210
125,3,21,Thursday,-0.39360695452445024332
218,3,21,Tuesday,0.05754947130935877565
61,3,21,Wednesday,-0.70408019380793171874
90,3,22,Friday,-0.56339700725760417519
80,3,22,Monday,-0.61190845089564815572
142,3,22,Saturday,-0.31113750033977547641
62,3,22,Sunday,-0.69922904944412732069
77,3,22,Thursday,-0.62646188398706134989
62,3,22,Tuesday,-0.69922904944412732069
64,3,22,Wednesday,-0.68952676071651852458
120,3,23,Friday,-0.41786267634347223359
38,3,23,Monday,-0.81565651417543287397
138,3,23,Saturday,-0.33054207779499306863
82,3,23,Sunday,-0.60220616216803935962
69,3,23,Thursday,-0.66527103889749653431
199,3,23,Tuesday,-0.03462227160292478737
80,3,23,Wednesday,-0.61190845089564815572
50,4,0,Friday,-0.75744278180978009733
71,4,0,Monday,-0.65556875016988773821
64,4,0,Saturday,-0.68952676071651852458
87,4,0,Sunday,-0.57795044034901736935
77,4,0,Thursday,-0.62646188398706134989
50,4,0,Tuesday,-0.75744278180978009733
104,4,0,Wednesday,-0.49548098616434260244
78,4,1,Friday,-0.62161073962325695183
27,4,1,Monday,-0.86901910217728125256
62,4,1,Saturday,-0.69922904944412732069
90,4,1,Sunday,-0.56339700725760417519
78,4,1,Thursday,-0.62161073962325695183
24,4,1,Tuesday,-0.88357253526869444672
87,4,1,Wednesday,-0.57795044034901736935
77,4,2,Friday,-0.62646188398706134989
24,4,2,Monday,-0.88357253526869444672
62,4,2,Saturday,-0.69922904944412732069
53,4,2,Sunday,-0.74288934871836690317
45,4,2,Thursday,-0.78169850362880208760
45,4,2,Tuesday,-0.78169850362880208760
7,4,2,Wednesday,-0.96604198945336921363
3,4,3,Friday,-0.98544656690858680584
39,4,3,Monday,-0.81080536981162847592
25,4,3,Saturday,-0.87872139090489004866
13,4,3,Sunday,-0.93693512327054282531
37,4,3,Thursday,-0.82050765853923727202
6,4,3,Tuesday,-0.97089313381717361168
2,4,3,Wednesday,-0.99029771127239120389
21,4,4,Friday,-0.89812596836010764088
37,4,4,Monday,-0.82050765853923727202
8,4,4,Saturday,-0.96119084508956481557
24,4,4,Sunday,-0.88357253526869444672
3,4,4,Thursday,-0.98544656690858680584
19,4,4,Tuesday,-0.90782825708771643698
53,4,4,Wednesday,-0.74288934871836690317
1,4,5,Friday,-0.99514885563619560195
14,4,5,Monday,-0.93208397890673842725
22,4,5,Saturday,-0.89327482399630324282
7,4,5,Sunday,-0.96604198945336921363
19,4,5,Thursday,-0.90782825708771643698
2,4,5,Tuesday,-0.99029771127239120389
20,4,5,Wednesday,-0.90297711272391203893
5,4,6,Friday,-0.97574427818097800973
40,4,6,Monday,-0.80595422544782407786
3,4,6,Saturday,-0.98544656690858680584
3,4,6,Sunday,-0.98544656690858680584
6,4,6,Thursday,-0.97089313381717361168
37,4,6,Tuesday,-0.82050765853923727202
18,4,6,Wednesday,-0.91267940145152083504
40,4,7,Friday,-0.80595422544782407786
37,4,7,Monday,-0.82050765853923727202
5,4,7,Saturday,-0.97574427818097800973
26,4,7,Sunday,-0.87387024654108565061
29,4,7,Thursday,-0.85931681344967245645
25,4,7,Tuesday,-0.87872139090489004866
39,4,7,Wednesday,-0.81080536981162847592
45,4,8,Friday,-0.78169850362880208760
44,4,8,Monday,-0.78654964799260648565
43,4,8,Saturday,-0.79140079235641088370
21,4,8,Sunday,-0.89812596836010764088
47,4,8,Thursday,-0.77199621490119329149
42,4,8,Tuesday,-0.79625193672021528176
44,4,8,Wednesday,-0.78654964799260648565
21,4,9,Friday,-0.89812596836010764088
74,4,9,Monday,-0.64101531707847454405
61,4,9,Saturday,-0.70408019380793171874
58,4,9,Sunday,-0.71863362689934491290
35,4,9,Thursday,-0.83020994726684606813
28,4,9,Tuesday,-0.86416795781347685450
34,4,9,Wednesday,-0.83506109163065046618
60,4,10,Friday,-0.70893133817173611679
72,4,10,Monday,-0.65071760580608334015
48,4,10,Saturday,-0.76714507053738889343
88,4,10,Sunday,-0.57309929598521297130
65,4,10,Thursday,-0.68467561635271412653
24,4,10,Tuesday,-0.88357253526869444672
79,4,10,Wednesday,-0.61675959525945255378
22,4,11,Friday,-0.89327482399630324282
64,4,11,Monday,-0.68952676071651852458
50,4,11,Saturday,-0.75744278180978009733
77,4,11,Sunday,-0.62646188398706134989
106,4,11,Thursday,-0.48577869743673380634
82,4,11,Tuesday,-0.60220616216803935962
72,4,11,Wednesday,-0.65071760580608334015
81,4,12,Friday,-0.60705730653184375767
24,4,12,Monday,-0.88357253526869444672
53,4,12,Saturday,-0.74288934871836690317
124,4,12,Sunday,-0.39845809888825464137
92,4,12,Thursday,-0.55369471852999537908
92,4,12,Tuesday,-0.55369471852999537908
119,4,12,Wednesday,-0.42271382070727663164
73,4,13,Friday,-0.64586646144227894210
30,4,13,Monday,-0.85446566908586805840
80,4,13,Saturday,-0.61190845089564815572
29,4,13,Sunday,-0.85931681344967245645
46,4,13,Thursday,-0.77684735926499768954
43,4,13,Tuesday,-0.79140079235641088370
67,4,13,Wednesday,-0.67497332762510533042
54,4,14,Friday,-0.73803820435456250511
74,4,14,Monday,-0.64101531707847454405
70,4,14,Saturday,-0.66041989453369213626
71,4,14,Sunday,-0.65556875016988773821
58,4,14,Thursday,-0.71863362689934491290
80,4,14,Tuesday,-0.61190845089564815572
87,4,14,Wednesday,-0.57795044034901736935
39,4,15,Friday,-0.81080536981162847592
92,4,15,Monday,-0.55369471852999537908
